 	Mean1	Mean2	Mean3
1	1249.286	1883.578	1213.227
2	1186.857	1723.933	1277.591
3	1127.114	1549.311	1245.545
4	1034.143	1422.400	1193.568
5	983.714	1330.067	1214.136
6	1104.371	1310.222	1353.614
7	1306.514	1288.044	1679.841
8	1496.257	1343.778	1669.932
9	1762.971	1319.956	1593.364
10	1828.371	1272.600	1595.273
11	1722.429	1281.511	1633.295
12	1672.971	1308.533	1664.023
13	1602.429	1337.733	1690.045
14	1484.400	1348.178	1756.386
15	1407.714	1253.533	1625.841
16	1521.429	1236.178	1665.318
17	2508.886	1648.400	1723
18	2802.029	1761.956	1764.886
19	2593.829	1785.956	1664.659
20	3103	1619.844	1624.773
21	3136.743	1787.111	1714.727
22	3233	1853.889	1731.409
23	3195.314	1849.156	1672.841
24	3222.657	1898	1728.295
25	3074.114	1989.978	1797.455
26	3050.572	1975.067	1616.841
27	3011.428	1980.156	1521.591
28	3016.686	1912.578	1451.591
29	2857.629	1844.400	1389
30	2779.829	1795.711	1295.841
31	2753.886	1742.867	1286.886
32	2993.686	1898.333	1711.955
33	3203.086	1838.578	1991.614
34	3091.114	1672.556	1837.750
35	2923.200	1564.867	1669.273
36	2724.771	1450.222	1496.955
37	2497.943	1328.911	1331.159
38	2266.572	1285.422	1205.273
39	2018.171	1219.333	1127.477
40	1799.771	1178.378	1042.909
41	1671.257	1156.622	1017.545
42	1630.543	1184.933	1120.023
43	1550.086	1166.600	1130.886
44	1490.943	1189.867	1172.250
45	1454.714	1195.622	1109
46	1315.286	1260	1080.159
47	1860.971	1681.578	1331.159
48	2689.114	2191.267	1635.205
49	2918.657	2096.889	1556.955
50	2701.857	1883.244	1356.864
51	2490.371	1746.578	1238.886
52	2331.543	1565.178	1182.409
53	2193.457	1558.778	1171.205
54	2134.314	1513.756	1172.023
55	2072.343	1479.111	1103.682
56	1889.657	1399.600	1046.886
57	1741.543	1348.778	1111.591
58	1611.114	1336.867	1094.841
59	1567.086	1279.200	1043.205
60	1469.800	1262.933	1004.636
61	1817.800	1330.889	1052.955
62	2118.714	1402.333	1548.205
63	2403.343	1408.933	2210
64	2410	1356.956	2373
65	2299.543	1256.311	2352.886
66	2181.686	1251.378	2205.523
67	1952	1197.800	2018.227
68	1805.514	1161.622	2016.659
69	1728.743	1176.667	2169.705
70	1552.571	1161.867	2050.182
71	1379.543	1109.467	1857.045
72	1308.943	1192.556	1719.295
73	1250.314	1288.778	1564.455
74	1092.543	1204.267	1420.909
75	1036.143	1196.356	1352.409
76	1005.600	1185.822	1496.114
77	1229.229	1350.556	1641.614
78	1711.600	1742.022	2032.705
79	1716.657	1715.756	2092.318
80	1860.200	1742.800	2052.318
81	2022.400	1829.178	1972.409
82	2119.171	1888.622	2011.909
83	2049.943	2013.644	1967.114
84	2129.114	2124.667	1943.591
85	1992.200	2292.622	1890.909
86	1976.171	2229.511	1786.227
87	2033.457	2301.444	1774.318
88	2102.486	2231.800	1739.273
89	2102.257	2708.156	1706.205
90	1938.714	2816.422	1624.500
91	1815.743	2840.867	1590.545
92	1818.971	2722.822	1791.273
93	2251.857	2598.889	2565.205
94	2188.371	2366.556	2483.523
95	1935.029	2166.711	2345.341
96	1730.486	1897.800	2118.159
97	1529.343	1719.489	1966.568
98	1449.143	1590.756	1815.318
99	1263.800	1488.667	1702.545
100	1169.400	1410.400	1580.795
101	1097.057	1323.644	1450.205
102	1008.743	1239.489	1322.773
103	907.657	1176.844	1238.705
104	884.771	1140.644	1166.136
105	842.686	1097.444	1131.136
106	852.200	1096.178	1061.045
107	858.800	1103.511	1050.568
108	1042.800	1264.289	1297.932
109	1092.514	1328.600	1668.068
110	1048	1355.533	1795.273
111	1004.800	1348.733	1748.250
112	1009.400	1395.844	1683
113	991.971	1432.467	1765.682
114	1017.857	1407.822	1650.432
115	947.800	1332.822	1618.614
116	975.743	1296.222	1956.864
117	928.371	1459.867	2255.295
118	930.771	1397.111	2182.727
119	924.771	1575.222	2030.136
120	909.114	1494.533	1894.227
121	931.429	1456.933	2001.455
122	969.771	1428.489	2178.864
123	1219.257	1532.711	2686.295
124	1164.371	1420.622	2656.136
125	1053.686	1280.489	2490.818
126	1028.629	1254.933	2366.773
127	905.486	1178.467	2136.227
128	845.286	1104.333	1979.341
129	788.629	1146.178	1803.250
130	767.600	1153.489	1702.977
131	778.257	1166.667	1601.455
132	759.314	1173.067	1488.841
133	766.143	1083.756	1372.591
134	735.600	1080.089	1254
135	751.257	1075.956	1168.864
136	735.686	1051.178	1108.614
137	758.114	1050.933	1089.318
138	954.657	1194.333	1282.091
139	1321.686	1651.578	1939.227
140	1291.486	1656.156	2171.750
141	1164.886	1594.133	2038.773
142	1085.400	1475.533	1936.386
143	1076.371	1498.356	2010.409
144	1099.686	1496.378	2018.727
145	1042.971	1405	1891.341
146	1014	1343.400	1909.750
147	1030.343	1306.022	2101.500
148	955.543	1240.667	2019.659
149	985.943	1374.822	2037.318
150	1031.457	1489.867	2147.341
151	1042.343	1673.511	2478.682
152	1066.029	1640.089	2578.159
153	1144.429	1637.578	2815.955
154	1332.943	1506.689	2793.750
155	1176.086	1354.311	2580.455
156	1031.743	1231.400	2385.386
157	1026.800	1138.733	2252.295
158	1047.943	1148.600	2119.068
159	1081.714	1122.667	2054.932
160	1112.714	1084.378	1863.045
161	1075.629	1073.756	1778.205
162	965.486	1037.978	1644.227
163	939.943	998.378	1509.864
164	920.286	978.333	1350.955
165	866.286	989.444	1261.341
166	828.400	977.733	1331.182
167	823	1021.556	1295.795
168	1187.829	1072.911	1324.364
169	1688.771	1260.044	1496.409
170	1752.686	1279.489	1427.364
171	1499.829	1216.244	1342.750
172	1575.800	1248	1299.659
173	1483.571	1257.422	1249.932
174	1495.743	1229.289	1159.364
175	1399.371	1162.756	1174.341
176	1318.686	1154.956	1174.977
177	1220.429	1104.156	1156.750
178	1198.857	1123.044	1139.818
179	1090.857	1069.044	1118.795
180	1234.600	1126.711	1186.114
181	1523.657	1211.356	1451.227
182	1532.486	1210.289	1408.068
183	1584.829	1229.667	1557.932
184	1694.629	1277.644	2127.500
185	1614.200	1188.111	2131.182
186	1448.257	1124.978	1906.341
187	1394.286	1120.200	1705.614
188	1281.657	1070.089	1526.114
189	1133.743	1009.578	1421.727
190	1007.629	997.067	1320.886
191	986.029	1004.667	1296.386
192	968.657	973.489	1195.023
193	949.629	979.756	1146.500
194	906.829	1032.489	1122.932
195	913.171	1067.289	1106.227
196	864.257	1082.800	1060.295
197	814.200	1045.756	993.432
198	1033.771	1054.733	997.045
199	1948.257	1136.600	1077.114
200	2165.457	1139.933	1062.955
201	2075.286	1121.978	1059.614
202	2006.114	1130.289	980.409
203	2072.514	1106.089	961.909
204	2177.057	1081.889	959.977
205	2161.800	1084.556	953.432
206	2161.572	1090.822	965.568
207	2196.857	1110.178	995.750
208	2198.514	1133.111	1031.295
209	2119.371	1143.222	1022.432
210	1959.286	1142.067	1000.023
211	2336.314	1290.444	1133.636
212	2889.171	1339.444	1314.932
213	3048.029	1443.644	1314.614
214	3030.457	1578.467	1576.932
215	2617.314	1636.222	1741.932
216	3003.629	1429.400	1883.932
217	2874.657	1315.822	1853.545
218	2817.800	1312.022	1704.818
